Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Gent,9000,Apartment,apartment,270000,for-sale,2,74,0,0,0,1,3.0,0,,0,,,1964.0,B,153.0,To be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20300686
Virton,6762,House,mixed-use-building,250000,for-sale,3,149,0,0,0,0,,0,,0,185,2.0,1850.0,F,494.0,To be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/virton/6762/10816081
Uccle,1180,House,mixed-use-building,699000,for-sale,4,286,1,0,0,1,20.0,1,55.0,0,185,2.0,1932.0,G,426.0,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/uccle/1180/20305124
Anhee,5537,Apartment,apartment,199000,for-sale,2,89,0,1,0,0,,0,,0,,,,A,83.0,Just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/anhee/5537/20225460
Gent,9052,House,villa,930000,for-sale,3,262,1,0,1,0,,1,624.0,1,789,4.0,2008.0,A,36.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/gent/9052/20271131
Knokke-heist,8300,Apartment,apartment,4200000,for-sale,4,246,1,0,0,0,,0,,0,,,1992.0,B,195.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10607628
Schaerbeek,1030,House,mansion,925000,for-sale,5,342,1,0,1,1,25.0,1,150.0,0,220,,,,,,https://www.immoweb.be/en/classified/mansion/for-sale/schaerbeek/1030/20224594
Spa,4900,Apartment,duplex,298500,for-sale,2,86,1,0,0,1,9.0,0,,0,,2.0,2014.0,B,127.0,Good,https://www.immoweb.be/en/classified/duplex/for-sale/spa/4900/20304084
Beersel,1650,House,house,259000,for-sale,3,110,1,0,0,0,,1,36.0,0,98,2.0,1951.0,D,304.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/20219767
Hertsberge,8020,House,country-cottage,1690000,for-sale,3,495,0,0,1,0,,0,,1,8698,4.0,1981.0,C,233.0,To be done up,https://www.immoweb.be/en/classified/country-cottage/for-sale/hertsberge/8020/20306517
